regime,entity_type,seed,floor_fraction,min_weight,factors,test_auc,untuned_auc,hhi,largest_share,untuned_hhi,converged
adversarial,SECTOR,11,0.4,0.08000000000000002,5,0.8095739348370927,0.7818379281537178,0.48799735636726294,0.6799977969668539,0.22380000000000003,True
adversarial,SECTOR,11,0.6,0.12,5,0.8027234753550543,0.7818379281537178,0.32799604225592316,0.519995052763036,0.22380000000000003,True
adversarial,SECTOR,11,0.8,0.16000000000000003,5,0.7859927596769702,0.7818379281537178,0.231999946746504,0.359999866866176,0.22380000000000003,True
adversarial,SECTOR,11,0.95,0.19,5,0.7818379281537178,0.7818379281537178,0.22380000000000003,0.28,0.22380000000000003,True
adversarial,SECTOR,23,0.0,0.0,5,0.8121127990853225,0.7863415964013787,0.5055210803260759,0.6912604140742791,0.22380000000000003,True
adversarial,SECTOR,23,0.1,0.020000000000000004,5,0.8116843917868201,0.7863415964013787,0.4812885754261389,0.6724208917869056,0.22380000000000003,True
adversarial,SECTOR,23,0.25,0.05,5,0.8117734114852102,0.7863415964013787,0.48624830536437263,0.6765652351680971,0.22380000000000003,True
adversarial,SECTOR,23,0.4,0.08000000000000002,5,0.8107218662979767,0.7863415964013787,0.47332730092325936,0.6675678679465897,0.22380000000000003,True
adversarial,SECTOR,23,0.6,0.12,5,0.8045711615123334,0.7863415964013787,0.3279973741102718,0.5199967176122111,0.22380000000000003,True
adversarial,SECTOR,23,0.8,0.16000000000000003,5,0.7898244921008928,0.7863415964013787,0.23199991612953644,0.35999979032363516,0.22380000000000003,True
adversarial,SECTOR,23,0.95,0.19,5,0.7863415964013787,0.7863415964013787,0.22380000000000003,0.28,0.22380000000000003,True
adversarial,SECTOR,37,0.0,0.0,5,0.7944560071995563,0.7621220859767462,0.43382578523780346,0.6267919427501247,0.22380000000000003,True
adversarial,SECTOR,37,0.1,0.020000000000000004,5,0.7939461314922083,0.7621220859767462,0.42943467945032626,0.6210921785300575,0.22380000000000003,True
adversarial,SECTOR,37,0.25,0.05,5,0.7948600070769634,0.7621220859767462,0.44345449575987633,0.635569926465523,0.22380000000000003,True
adversarial,SECTOR,37,0.4,0.08000000000000002,5,0.7935142695542905,0.7621220859767462,0.40602487957610833,0.603007029233162,0.22380000000000003,True
adversarial,SECTOR,37,0.6,0.12,5,0.7875991541078429,0.7621220859767462,0.32798524566519044,0.5199815563251303,0.22380000000000003,True
adversarial,SECTOR,37,0.8,0.16000000000000003,5,0.7707704695593058,0.7621220859767462,0.23199333592526314,0.35998333852040704,0.22380000000000003,True
adversarial,SECTOR,37,0.95,0.19,5,0.7621220859767462,0.7621220859767462,0.22380000000000003,0.28,0.22380000000000003,True
adversarial,SECTOR,41,0.0,0.0,5,0.7961363427862923,0.781635813194481,0.560042778706883,0.7344595452967722,0.22380000000000003,True
adversarial,SECTOR,41,0.1,0.020000000000000004,5,0.7954719205139682,0.781635813194481,0.5577394300435241,0.734178958901806,0.22380000000000003,True
adversarial,SECTOR,41,0.25,0.05,5,0.7952189396487735,0.781635813194481,0.5529921753975604,0.7311733287154751,0.22380000000000003,True
adversarial,SECTOR,41,0.4,0.08000000000000002,5,0.7952828798674492,0.781635813194481,0.48799961511167905,0.6799996792595673,0.22380000000000003,True
adversarial,SECTOR,41,0.6,0.12,5,0.7923555298559121,0.781635813194481,0.3279997690366807,0.5199997112956469,0.22380000000000003,True
adversarial,SECTOR,41,0.8,0.16000000000000003,5,0.7826060365126449,0.781635813194481,0.2319999278575327,0.35999981964367367,0.22380000000000003,True
adversarial,SECTOR,41,0.95,0.19,5,0.781635813194481,0.781635813194481,0.22380000000000003,0.28,0.22380000000000003,True
adversarial,SECTOR,53,0.0,0.0,5,0.8096759470561388,0.7839248143736572,0.5232898177157385,0.6957867050202,0.22380000000000003,True
adversarial,SECTOR,53,0.1,0.020000000000000004,5,0.809005243178858,0.7839248143736572,0.5193190482345614,0.6908556729509745,0.22380000000000003,True
adversarial,SECTOR,53,0.25,0.05,5,0.809316939586557,0.7839248143736572,0.4760123329122248,0.6585745904668485,0.22380000000000003,True
