agency,board,month,requests,slaBreachRate,repeatComplaintRate,escalationRate,openComplaintLoad,avgResolutionDays,nextBreachRate,failed,score,probability
DEP,5,2023-10,106,0.19811320754716982,0.39772727272727271,0,80,3.3332487922705316,0.30188679245283018,0,19.481061533626601,0.078378378378378383
DEP,5,2023-11,106,0.30188679245283018,0.29213483146067415,0.028301886792452831,84,7.5460852396514166,0.38235294117647056,1,28.442654455834681,0.19
DEP,5,2023-12,136,0.38235294117647056,0.40350877192982454,0.029411764705882353,102,2.659622175141243,0.40170940170940173,1,34.469222507854703,0.3271604938271605
DEP,5,2024-01,117,0.40170940170940173,0.31958762886597936,0.0085470085470085479,100,8.0168242296918759,0.24113475177304963,0,36.748936065389934,0.3271604938271605
DEP,5,2024-02,141,0.24113475177304963,0.34482758620689657,0.0070921985815602835,99,4.4651995305164318,0.15333333333333332,0,23.165126975391697,0.11846689895470383
DEP,5,2024-03,150,0.15333333333333332,0.39449541284403672,0.0066666666666666671,92,3.7681219037508846,0.33050847457627119,0,16.146853613271222,0.078378378378378383
DEP,5,2024-04,118,0.33050847457627119,0.29999999999999999,0.016949152542372881,103,3.693659138110073,0.23076923076923078,0,29.998795218415111,0.19
DEP,5,2024-05,130,0.23076923076923078,0.3504273504273504,0.0076923076923076927,105,5.2071777343749996,0.19607843137254902,0,22.607358928347761,0.11846689895470383
DEP,5,2024-06,255,0.19607843137254902,0.39090909090909093,0.0039215686274509803,116,2.8190459927140252,0.28528528528528529,0,19.563453197558168,0.078378378378378383
DEP,5,2024-07,333,0.28528528528528529,0.47232472324723246,0.006006006006006006,117,2.544927627175368,0.21698113207547171,0,27.062789619692225,0.17582417582417584
DEP,5,2024-08,212,0.21698113207547171,0.51851851851851849,0.014150943396226415,108,4.9210124434389142,0.34453781512605042,0,22.340731400621287,0.11846689895470383
DEP,5,2024-09,119,0.34453781512605042,0.42424242424242425,0,113,4.4018213937621837,0.20689655172413793,0,31.932482902595375,0.23474178403755869
DEP,5,2024-10,116,0.20689655172413793,0.39393939393939392,0,109,4.5305092592592597,0.2288135593220339,0,20.757893198113621,0.11846689895470383
DEP,5,2024-11,118,0.2288135593220339,0.44086021505376344,0,110,2.7321343779677112,0.35643564356435642,1,22.328002841144727,0.11846689895470383
DEP,5,2024-12,101,0.35643564356435642,0.4157303370786517,0,115,3.8033926504629627,0.27956989247311825,0,32.720400870029998,0.23474178403755869
DEP,5,2025-01,186,0.27956989247311825,0.31578947368421051,0.010752688172043012,135,2.4662859772423023,0.21621621621621623,0,26.018963165951035,0.13513513513513514
DEP,5,2025-02,185,0.21621621621621623,0.34513274336283184,0,132,3.546472369976359,0.33057851239669422,0,21.269143974508474,0.11846689895470383
DEP,5,2025-03,121,0.33057851239669422,0.30927835051546393,0.024793388429752067,140,2.8231563421828909,0.30434782608695654,0,30.275394438255962,0.19
DEP,5,2025-04,92,0.30434782608695654,0.41860465116279072,0,146,4.3320090439276493,0.26174496644295303,0,29.022789272541822,0.19
DEP,5,2025-05,149,0.26174496644295303,0.48275862068965519,0.020134228187919462,152,1.78235236985237,0.14634146341463414,0,25.492245963457073,0.11846689895470383
DEP,5,2025-06,410,0.14634146341463414,0.45901639344262296,0.0048780487804878049,175,2.0911229543496987,0.16292134831460675,0,16.38272381685352,0.078378378378378383
DEP,5,2025-07,534,0.16292134831460675,0.56451612903225812,0.0037453183520599251,171,1.7252646117306898,0.27196652719665271,0,18.1013168332966,0.078378378378378383
DEP,5,2025-08,239,0.27196652719665271,0.45177664974619292,0.008368200836820083,164,2.0818343495934961,0.28971962616822428,0,26.294968524248546,0.1702127659574468
