regime,entity_type,seed,bayes_ceiling,model,interpretable,roc_auc,average_precision,brier,precision_at_threshold,recall_at_threshold
adversarial,CONTRACTOR,20260828,0.8009846315666453,GRIE (tuned weights),True,0.7903421375562438,0.767896625269029,0.19860565283194667,0.9636363636363636,0.16878980891719744
adversarial,CONTRACTOR,20260828,0.8009846315666453,Logistic regression,True,0.7905685735990182,0.7682153229597521,0.17800817810230427,0.7405857740585774,0.5636942675159236
adversarial,CONTRACTOR,20260828,0.8009846315666453,Gradient boosting,False,0.7856673289312219,0.7594757667358226,0.18045105023331787,0.7198443579766537,0.589171974522293
adversarial,CONTRACTOR,20260828,0.8009846315666453,Random forest,False,0.7904590077718693,0.7724121422479902,0.1781338392983169,0.7389558232931727,0.5859872611464968
adversarial,CONTRACTOR,20260829,0.8407745981275392,GRIE (hand-specified),True,0.8092430665960078,0.7685180569886182,0.19280242544822104,0.9454545454545454,0.16993464052287582
adversarial,CONTRACTOR,20260829,0.8407745981275392,GRIE (tuned weights),True,0.8361817700052994,0.8097473308768115,0.18438278358233318,0.9838709677419355,0.19934640522875818
adversarial,CONTRACTOR,20260829,0.8407745981275392,Logistic regression,True,0.8371974916092563,0.8115389987525898,0.1575271332472713,0.7833333333333333,0.6143790849673203
adversarial,CONTRACTOR,20260829,0.8407745981275392,Gradient boosting,False,0.8301794441500323,0.8027453418446115,0.15939748541092116,0.75,0.6372549019607843
adversarial,CONTRACTOR,20260829,0.8407745981275392,Random forest,False,0.8294470941529766,0.8045889932666507,0.16027129560293238,0.7704918032786885,0.6143790849673203
adversarial,CONTRACTOR,20260830,0.8104575638778375,GRIE (hand-specified),True,0.7904050505858651,0.7588216931757528,0.19898075378153612,0.9607843137254902,0.1536050156739812
adversarial,CONTRACTOR,20260830,0.8104575638778375,GRIE (tuned weights),True,0.8125231836728757,0.7926692898249856,0.19250073819686267,0.9491525423728814,0.1755485893416928
adversarial,CONTRACTOR,20260830,0.8104575638778375,Logistic regression,True,0.8116212933398308,0.7922301546756974,0.17014173404379598,0.7537878787878788,0.6238244514106583
adversarial,CONTRACTOR,20260830,0.8104575638778375,Gradient boosting,False,0.8018132359679684,0.7862080750464464,0.17273611581275078,0.7472118959107806,0.6300940438871473
adversarial,CONTRACTOR,20260830,0.8104575638778375,Random forest,False,0.800354937485908,0.7850876745912397,0.17210986940100134,0.7372262773722628,0.6332288401253918
